Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ENE 13.04i,A,STORY AND NARRATIVE IN MANAGEMENT,3,"D 0800-0930
(ONSITE)",CTC 105,"ORTIZ, Anne Camille",30,ENG,U,1,-,N,N
ENE 13.04i,B,STORY AND NARRATIVE IN MANAGEMENT,3,"D 0930-1100
(ONSITE)",CTC 104,"FRANQUELLI, JACQUELINE V.",30,ENG,U,0,-,N,N
ENE 13.04i,B1,STORY AND NARRATIVE IN MANAGEMENT,3,"D 0930-1100
(ONSITE)",CTC 105,"GONZALES, Dan Henry",30,ENG,U,0,-,N,N
ENE 13.04i,B2,STORY AND NARRATIVE IN MANAGEMENT,3,"D 0930-1100
(ONSITE)",SEC-A203A,"ORTIZ, Anne Camille",30,ENG,U,0,-,N,N
ENE 13.04i,C,STORY AND NARRATIVE IN MANAGEMENT,3,"D 1100-1230
(ONSITE)",CTC 104,"GONZALES, Dan Henry",30,ENG,U,0,-,N,N
ENE 13.04i,C1,STORY AND NARRATIVE IN MANAGEMENT,3,"D 1100-1230
(ONSITE)",CTC 105,"ADANTE, IRISH GENEVIEVE L.",30,ENG,U,2,-,N,N
ENE 13.04i,D,STORY AND NARRATIVE IN MANAGEMENT,3,"D 1230-1400
(ONSITE)",CTC 104,"DEL PRADO, JOHN ANDREW M.",30,ENG,U,7,-,N,N
ENE 13.04i,E,STORY AND NARRATIVE IN MANAGEMENT,3,"D 1400-1530
(ONSITE)",CTC 104,"FRANQUELLI, JACQUELINE V.",30,ENG,U,0,-,N,N
ENE 13.04i,F,STORY AND NARRATIVE IN MANAGEMENT,3,"D 1530-1700
(ONSITE)",CTC 104,"DEL PRADO, JOHN ANDREW M.",30,ENG,U,0,-,N,N
ENE 13.05i,A,STORY AND NARRATIVE IN SCIENCE AND ENGINEERING,3,"D 0800-0930
(ONSITE)",SEC-A203A,"GOMEZ, LUISA L.",30,ENG,U,17,-,N,N
ENE 13.05i,B,STORY AND NARRATIVE IN SCIENCE AND ENGINEERING,3,"D 0930-1100
(ONSITE)",CTC 106,"GOMEZ, LUISA L.",30,ENG,U,29,-,N,N
ENE 13.05i,C,STORY AND NARRATIVE IN SCIENCE AND ENGINEERING,3,"D 1100-1230
(ONSITE)",SEC-A203A,"PATERNO, JHOANNA MICHELLE G.",30,ENG,U,3,-,N,N
ENE 13.05i,E,STORY AND NARRATIVE IN SCIENCE AND ENGINEERING,3,"D 1400-1530
(ONSITE)",CTC 105,"RITUMBAN, RAYMON D.",30,ENG,U,0,-,N,N
ENE 13.05i,F,STORY AND NARRATIVE IN SCIENCE AND ENGINEERING,3,"D 1530-1700
(ONSITE)",CTC 105,"RITUMBAN, RAYMON D.",30,ENG,U,2,-,N,N
ENE 13.06i,B,STORY AND NARRATIVE IN THE SOCIAL SCIENCES,3,"D 0930-1100
(ONSITE)",SEC-A204A,"LACSON, KATARINA A.",30,ENG,U,1,-,N,N
ENE 13.06i,C,STORY AND NARRATIVE IN THE SOCIAL SCIENCES,3,"D 1100-1230
(ONSITE)",SEC-A204A,"DIAZ, GLENN L.",30,ENG,U,8,-,N,N
ENVI 173i,D,BIOCULTURAL DIVERSITY: LINKING CULTURE AND ENVIRONMENT,3,"D 1230-1400
(ONSITE)",CTC 206,"SATUMBAGA, DAWN IVA P.",30,ENG,U,-2,-,N,N
EURO 181.1i,D,INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY,3,"D 1230-1400
(ONSITE)",K-204,"TIONLOC, JAVIER RICO ISRAEL R.",30,ENG,U,-2,-,N,N
GDEV 20i,C,INTRODUCTION TO THE DESIGN AND DEVELOPMENT OF COMPUTER GAMES,3,"D 1100-1230
(ONSITE)",CTC 112,"DIY, WALFRIDO DAVID A.",30,ENG,U,-2,-,N,N
GDEV 20i,E,INTRODUCTION TO THE DESIGN AND DEVELOPMENT OF COMPUTER GAMES,3,"D 1400-1530
(ONSITE)",CTC 112,"SAMACO, JAPHETH DUANE C.",35,ENG,U,0,-,N,N
HSCI 60i,D,FUNDAMENTALS OF GLOBAL HEALTH,3,"D 1230-1400
(ONSITE)",CTC 107,"RODEROS, Ma. Via Jucille",25,ENG,U,-5,-,N,N
HSCI 61i,C,DESIGN THINKING IN PUBLIC HEALTH,3,"D 1100-1230
(ONSITE)",CTC 414,"ESPINOSA, Christine Ingrid",20,ENG,U,0,-,N,N
IDS 121.15i,N2,BASIC MUSIC RESEARCH AND CRITICISM,3,"T 0800-1230; TH 0800-1100
(FULLY ONLINE)",TBA; TBA,"FRANCISCO, KAREN FATIMA R.",30,ENG,U,-7,-,N,N
IDS 132.05i,O2,CULTURAL STUDIES OF CONTEMPORARY TECHNOLOGY,3,"T 1230-1700; TH 1230-1530
(ONSITE)",SEC-C201A; SEC-C201A,"LORENZANA, GEORGE PETER A.",75,ENG,U,33,-,N,N
IDS 162.13i,O1,MEDIA STUDIES: FILIPINO FILM AND SOCIETY,3,"T 1230-1530; TH 1230-1700
(ONSITE)",CTC 102; CTC 102,"CAYABYAB, Antonio Maria",50,E / F,U,-4,-,N,N
IDS 163.13i,N1,CONTEMPORARY ISSUES: PSYCHOLOGY AND PERSONAL GROWTH,3,"T 0800-1100; TH 0800-1230
(FULLY ONLINE)",TBA; TBA,"TRINIDAD, JOSE EOS R.",75,ENG,U,-12,-,S,N
IDS 180.13i,J,SPECIAL TOPICS IN PHILIPPINE STUDIES: REPRESENTATION OF OTHERNESS IN FILM AND LITERATURE,3,"M-W-F 1030-1300
(ONSITE)",CTC 103,"LABASTILLA, SKILTY C.",30,E / F,U,-4,-,N,N
LAS 50.2i,E,INTERDISCIPLINARY ISSUES IN SPORT MANAGEMENT,3,"D 1400-1530
(ONSITE)",SOM 302,"PUEN, DAVID ALLEN Y.",30,ENG,U,-5,-,N,N
LAS 50.2i,O1,INTERDISCIPLINARY ISSUES IN SPORT MANAGEMENT,3,"T 1230-1530; TH 1230-1700
(ONSITE)",CTC 407; CTC 407,"TONG, ALDO ZELIG U.",30,ENG,U,-2,-,N,N
LAS 51i,O2,APPLIED ENTREPRENEURSHIP: AN INTERDISCIPLINARY APPROACH,3,"T 1230-1700; TH 1230-1530
(ONSITE)",SEC-A202A; SEC-A202A,"QUITORIANO, GEORGE OMER DENIS S.",30,ENG,U,5,-,N,N
PNTKN 135.03i,I,MGA PANITIKAN AT PELIKULA NG SIYUDAD: PANAHON NG BATAS MILITAR,3,"M-W-F 0800-1030
(ONSITE)",SEC-A123A,"TRINIDAD, ANDREA ANNE I.",30,ENG,U,0,-,N,N
PNTKN 149.03i,J,KULTURANG POPULAR AT USAPIN NG KASARIAN,3,"M-W-F 1030-1300
(ONSITE)",SEC-A123A,"TRINIDAD, ANDREA ANNE I.",30,ENG,U,1,-,N,N
PSYC 50.06i,O1,DYNAMICS OF GROUPS IN ORGANIZATIONS,3,"T 1230-1530; TH 1230-1700
(ONSITE)",G-304; G-304,"BULILAN, Ed Joseph",30,ENG,U,-1,ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.,N,N
PSYC 80.18i,N1,DATA ANALYTICS FOR TEXT ANALYSIS,3,"T 0800-1100; TH 0800-1230
(ONSITE)",K-203; K-203,"DELA PAZ, ERWINE S.",30,ENG,U,-1,-,N,N
SEAS 103i,K,COMPARATIVE ASEAN HEALTH POLICIES,3,"M-W-F 1300-1530
(ONSITE)",SEC-A118A,"LOPEZ, LESLIE A.",30,ENG,U,1,-,N,N
SEAS 103i,K1,COMPARATIVE ASEAN HEALTH POLICIES,3,"M-W-F 1300-1530
(ONSITE)",CTC 307,"CLAUDIO, JESSICA SANDRA R.",30,ENG,U,0,-,N,N
SEAS 103i,K2,COMPARATIVE ASEAN HEALTH POLICIES,3,"M-W-F 1300-1530
(ONSITE)",CTC 308,"BATANGAN, Dennis",30,ENG,U,1,-,N,N
THEO 36i,A,"FOOD JUSTICE: PERSPECTIVES FROM THEOLOGY, ECOFEMINISM AND THE SOCIAL SCIENCES",3,"D 0800-0930
(ONSITE)",SEC-A214A,"BADION, JUSTIN JOSEPH G.",25,ENG,U,-1,-,S,N
THEO 36i,B,"FOOD JUSTICE: PERSPECTIVES FROM THEOLOGY, ECOFEMINISM AND THE SOCIAL SCIENCES",3,"D 0930-1100
(ONSITE)",SEC-A214A,"BADION, JUSTIN JOSEPH G.",25,ENG,U,-1,-,S,N
THEO 36i,K,"FOOD JUSTICE: PERSPECTIVES FROM THEOLOGY, ECOFEMINISM AND THE SOCIAL SCIENCES",3,"M-W-F 1300-1530
(ONSITE)",CTC 103,"PUEN, STEPHANIE ANN Y.",30,ENG,U,-2,-,N,N
BIO 12.01,C,"BIOTECHNOLOGY FOR EVERYONE, LECTURE",3,"D 1100-1230
(ONSITE)",SEC-A116A,"RAGAZA, JANICE A.",20,ENG,U,1,-,N,N
BIO 32,E,BIOSCIENCE ENTERPRISE,3,"D 1400-1530
(ONSITE)",CTC 301,"AGUIRRE, ARIEL LORENZO J II Y., RAGAZA, JANICE A.",40,ENG,U,13,-,N,N
BIO 100.01,A,"GENERAL ZOOLOGY, LECTURE",3,"D 0800-0930
(ONSITE)",CTC 301,"BARROGA, Luigi, DEL ROSARIO, Lorraine Joyce, PUEBLO, Christopher John",30,ENG,U,1,-,N,N
BIO 100.01,B,"GENERAL ZOOLOGY, LECTURE",3,"D 0930-1100
(ONSITE)",SEC-A202A,"BARROGA, Luigi",30,ENG,U,5,-,N,N
BIO 100.02,O1P1,"GENERAL ZOOLOGY, LABORATORY",2,"T-TH 1200-1800
(ONSITE)",SEC-B106A,"BARROGA, Luigi, DEL ROSARIO, Lorraine Joyce",30,ENG,U,-3,-,N,N
BIO 100.02,O1P1A,"GENERAL ZOOLOGY, LABORATORY",2,"T-TH 1300-1900
(ONSITE)",SEC-B105A,"PUEBLO, Christopher John",30,ENG,U,10,-,N,N
BIO 120.01,A,"MICROBIOLOGY, LECTURE",3,"D 0800-0930
(ONSITE)",CTC 302,"DE GUZMAN, Ivan Adrian",30,ENG,U,0,-,N,N
BIO 120.01,B,"MICROBIOLOGY, LECTURE",3,"D 0930-1100
(ONSITE)",SEC-A117A,"LOPEZ, CRISANTO M.",30,ENG,U,2,-,N,N
BIO 120.01,C,"MICROBIOLOGY, LECTURE",3,"D 1100-1230
(ONSITE)",CTC 301,"ABISADO, RHEA G.",30,ENG,U,2,-,N,N
BIO 120.01,D,"MICROBIOLOGY, LECTURE",3,"D 1230-1400
(ONSITE)",CTC 301,"GATCHALIAN, Pamela",30,ENG,U,-5,-,N,N
BIO 120.01,F,"MICROBIOLOGY, LECTURE",3,"D 1530-1700
(ONSITE)",SEC-A117A,"MAINI, ZOMESH A.",30,ENG,U,11,-,N,N
BIO 120.02,IJ1,"MICROBIOLOGY, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",SEC-B305A,"GATCHALIAN, Pamela",30,ENG,U,-4,-,N,N
BIO 120.02,KL,"MICROBIOLOGY, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",SEC-B305A,"LOPEZ, CRISANTO M.",30,ENG,U,0,-,N,N
BIO 120.02,KL1,"MICROBIOLOGY, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",SEC-B216A,"ABISADO, RHEA G.",30,ENG,U,2,-,N,N
BIO 120.02,KL2,"MICROBIOLOGY, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",SEC-B106A,"DE GUZMAN, Ivan Adrian",30,ENG,U,0,-,N,N
BIO 120.02,N1O1,"MICROBIOLOGY, LABORATORY",2,"T-TH 0800-1400
(ONSITE)",SEC-B216A,"LIBUNAO, Joseph Conrad",30,ENG,U,10,-,N,N
BIO 143.01,D,"BIOTECHNOLOGY, LECTURE",3,"D 1230-1400
(ONSITE)",CTC 302,"BRAGAIS, Edward Kevin",40,ENG,U,0,-,N,N
BIO 143.02,IJ,"BIOTECHNOLOGY, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",SEC-B216A,"BRAGAIS, Edward Kevin",40,ENG,U,2,-,N,N
BIO 160.01,A,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 0800-0930
(ONSITE)",SEC-A116A,"SAGUN, VERNIE G.",26,ENG,U,0,-,N,N
BIO 160.01,B,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 0930-1100
(ONSITE)",SEC-A116A,"SAGUN, VERNIE G.",26,ENG,U,1,-,N,N
BIO 160.01,B1,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 0930-1100
(ONSITE)",CTC 302,"RONDOLO, Irvin",26,ENG,U,12,-,N,N
BIO 160.01,D,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 1230-1400
(ONSITE)",SEC-A117A,"CRUZ, RONALD ALLAN L.",26,ENG,U,4,-,N,N
BIO 160.01,D1,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 1230-1400
(ONSITE)",SEC-A116A,"GELLYNCK, MARC P.",26,ENG,U,-3,-,N,N
BIO 160.01,E,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 1400-1530
(ONSITE)",CTC 302,"GARCIA, Maia Patricia",26,ENG,U,-3,-,N,N
BIO 160.01,F,"EVOLUTIONARY BIOLOGY, LECTURE",3,"D 1530-1700
(ONSITE)",SEC-A116A,"GELLYNCK, MARC P.",26,ENG,U,0,-,N,N
BIO 160.02,IJ2,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",SEC-B105A,"GARCES, Jhoana",26,ENG,U,-2,-,N,N
BIO 160.02,IJ3,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",SEC-B106A,"GELLYNCK, MARC P.",26,ENG,U,0,-,N,N
BIO 160.02,IJ4,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",SEC-B307A,"GARCIA, Maia Patricia",26,ENG,U,-2,-,N,N
BIO 160.02,IJ5,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",SEC-B107A,"YAN, JONATHAN PATRICK H.",26,ENG,U,5,-,N,N
BIO 160.02,KL3,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",SEC-B107A,"YAN, JONATHAN PATRICK H.",26,ENG,U,0,-,N,N
BIO 160.02,KL4,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",SEC-B105A,"RONDOLO, Irvin",26,ENG,U,12,-,N,N
BIO 160.02,KL5,"EVOLUTIONARY BIOLOGY, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",SEC-B307A,"GARCES, Jhoana",26,ENG,U,0,-,N,N
BIO 197,Z1,PRACTICUM,3,"TBA
(ONSITE)",TBA,"GULPEO, PIA CLARISSE R.",114,ENG,U,7,-,N,N
BIO 204.01,Z3,"ADVANCED ECOLOGY, LECTURE",2,"TUTORIAL 0000-0000
(ONSITE)",TBA,"GARCES, Jhoana",2,ENG,G,0,-,N,N
BIO 204.02,Z4,"ADVANCED ECOLOGY, LABORATORY",1,"TUTORIAL 0000-0000
(ONSITE)",TBA,"GARCES, Jhoana",2,ENG,G,0,-,N,N
BIO 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 298,CAPS,SPECIAL RESEARCH,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,47,-,N,N
BIO 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 299.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 390.3,Z2,GRADUATE SEMINAR IN BIOLOGY 3,1,"TUTORIAL 0000-0000
(ONSITE)",TBA,"GARCES, Jhoana",1,ENG,G,1,-,N,N
BIO 396,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 399.1,THES/DISS,DISSERTATION PROPOSAL,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,49,-,N,N
BIO 399.12,THES/DISS,DISSERTATION I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 399.2,THES/DISS,DISSERTATION II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 399.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 399.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIO 399.7,SUB-B,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIOED 297.1,CAPS,PRACTICUM I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
BIOED 297.2,CAPS,PRACTICUM II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
SCIED 290.1,KL,SEMINAR ON LABORATORY PRACTICES AND EXPERIMENTAL DESIGN,3,"F 1300-1500; M-W 1300-1700
(ONSITE)",CTC 202; CTC 202,"CONSTANTINO, MARIA KATRINA C., DELOS SANTOS, RAMON M.",30,ENG,G,25,-,N,N
SCIED 290,B,GRADUATE SEMINAR,1,"M-TH 0930-1100
(ONSITE)",CTC 202,"CONSTANTINO, MARIA KATRINA C.",30,ENG,G,21,-,N,N
SCIED 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,47,-,N,N
SCIED 298,CAPS,SPECIAL PROJECT,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
SCIED 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,48,-,N,N
SCIED 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
SCIED 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
SCIED 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
SCIED 299.7,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",50,ENG,G,50,-,N,N
CHEM 53.10,F,SURVEY OF BIOCHEMISTRY,3,"D 1530-1700
(ONSITE)",C-109,"DE JESUS, Armando Jerome Jr.",22,ENG,U,2,ALL SLOTS FOR 4TH YEAR BS HS MAJORS. ALL SLOTS FOR 3RD YEAR BS HS MAJORS.,N,N
CHEM 131.01,A1,"QUANTITATIVE CHEMICAL ANALYSIS, LECTURE",3,"D 0800-0930
(ONSITE)",C-109,"BUENAFE, OLIVIA ERIN M.",35,ENG,U,9,-,N,N
CHEM 131.01,E,"QUANTITATIVE CHEMICAL ANALYSIS, LECTURE",3,"D 1400-1530
(ONSITE)",C-109,"BUENAFE, OLIVIA ERIN M.",35,ENG,U,0,-,N,N
CHEM 131.02,IJ,"QUANTITATIVE CHEMICAL ANALYSIS, LABORATORY",2,"M-W-F 0800-1200
(ONSITE)",C-307,"CRUZ, Jim, LAGURIN, Lolita",24,ENG,U,0,-,N,N
CHEM 131.02,KL,"QUANTITATIVE CHEMICAL ANALYSIS, LABORATORY",2,"M-W-F 1300-1700
(ONSITE)",C-307,"CRUZ, Jim, LAGURIN, Lolita",24,ENG,U,-1,-,N,N
CHEM 131.02,N1Q1,"QUANTITATIVE CHEMICAL ANALYSIS, LABORATORY",2,"SAT 0800-1200; T-TH 0800-1200
(ONSITE)",C-307; C-307,"CRUZ, Jim, LAGURIN, Lolita",24,ENG,U,10,-,N,N
CHEM 161.41,A2,"INORGANIC COMPOUNDS AND REACTIONS, LECTURE",3,"D 0800-0930
(ONSITE)",C-114,"SAN ESTEBAN, ANNA CARISSA M.",28,ENG,U,-3,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 161.41,C,"INORGANIC COMPOUNDS AND REACTIONS, LECTURE",3,"D 1100-1230
(ONSITE)",C-109,"SAN ESTEBAN, ANNA CARISSA M.",28,ENG,U,7,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 161.42,O1O2,"INORGANIC COMPOUNDS AND REACTIONS, LABORATORY",1,"T-TH 1400-1800
(ONSITE)",C-207,"MUNOZ, Moli Mae",20,ENG,U,4,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 161.42,O1O2A,"INORGANIC COMPOUNDS AND REACTIONS, LABORATORY",1,"T-TH 1400-1800
(ONSITE)",C-209,"MICLAT, VALERIE CHRISTIE B.",20,ENG,U,5,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 197,Z1,PROFESSIONAL ENGAGEMENT,3,"D 0000-0000
(ONSITE)",TBA,"BOLINAS, ROBERT DE ANGELO A.",25,ENG,U,5,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 197,Z1A,PROFESSIONAL ENGAGEMENT,3,"D 0000-0000
(ONSITE)",TBA,"VOCAL, ERIKA KIRSTEN S.",25,ENG,U,1,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 197,Z1B,PROFESSIONAL ENGAGEMENT,3,"D 0000-0000
(ONSITE)",TBA,"VOCAL, ERIKA KIRSTEN S.",25,ENG,U,0,ALL SLOTS FOR BS CH MAJORS. ALL SLOTS FOR BS CH-MSE MAJORS.,N,N
CHEM 275,H,BIOPHYSICAL CHEMISTRY,3,"D 1830-2000
(ONSITE)",C-114,"DAYRIT, FABIAN M., DE JESUS, Armando Jerome Jr., ROJAS, NINA ROSARIO L.",10,ENG,G,8,-,N,N
CHEM 290.1,YYY,GRADUATE SEMINAR I,1,"TBA
(ONSITE)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 290.2,YYY,GRADUATE SEMINAR II,1,"TBA
(ONSITE)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 296,COMP,COMPREHENSIVE EXAMINATIONS,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,24,-,N,N
CHEM 298.1,CAPS,MASTER'S PROJECT I,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 298.2,CAPS,MASTER'S PROJECT II,3,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 299.1,THES/DISS,THESIS I,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 299.2,THES/DISS,THESIS II,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,16,-,N,N
CHEM 299.4,ODEF,ORAL DEFENSE,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 299.5,RESID,RESIDENCY,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
CHEM 299.6,SUB-A,FINAL PAPER SUBMISSION,0,"TBA
(~)",TBA,"TBA, -",25,ENG,G,25,-,N,N
